
> backend@0.1.0 develop /home/ubuntu/backend/sigtuple-backend
> strapi develop


 Project information

[90m┌────────────────────[39m[90m┬──────────────────────────────────────────────────┐[39m
[90m│[39m Time               [90m│[39m Fri Jul 09 2021 17:28:55 GMT+0000 (Coordinated … [90m│[39m
[90m│[39m Launched in        [90m│[39m 2496 ms                                          [90m│[39m
[90m│[39m Environment        [90m│[39m development                                      [90m│[39m
[90m│[39m Process PID        [90m│[39m 30087                                            [90m│[39m
[90m│[39m Version            [90m│[39m 3.6.5 (node v14.17.2)                            [90m│[39m
[90m│[39m Edition            [90m│[39m Community                                        [90m│[39m
[90m└────────────────────[39m[90m┴──────────────────────────────────────────────────┘[39m

 Actions available

Welcome back!
To manage your project 🚀, go to the administration panel at:
http://localhost:1337/admin

To access the server ⚡️, go to:
http://localhost:1337

[2021-07-14T06:32:38.389Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-14T06:32:38.448Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T06:32:53.560Z] debug GET /publications (13 ms) 200
[2021-07-14T06:32:53.827Z] debug GET /clients (24 ms) 200
[2021-07-14T06:32:53.829Z] debug GET /clients/count (17 ms) 200
[2021-07-14T06:32:54.122Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-14T06:32:54.387Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-14T06:45:20.789Z] debug GET /publications (34 ms) 200
[2021-07-14T06:45:20.797Z] debug GET /clients/count (23 ms) 200
[2021-07-14T06:45:20.801Z] debug GET /clients (40 ms) 200
[2021-07-14T06:45:21.425Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-14T06:45:21.428Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T07:03:20.903Z] debug GET /publications (24 ms) 200
[2021-07-14T07:03:20.915Z] debug GET /clients/count (18 ms) 200
[2021-07-14T07:03:20.923Z] debug GET /clients (33 ms) 200
[2021-07-14T07:03:21.619Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-14T07:03:21.622Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T07:32:26.596Z] debug GET /clients/count (24 ms) 200
[2021-07-14T07:32:26.603Z] debug GET /publications (35 ms) 200
[2021-07-14T07:32:26.606Z] debug GET /clients (43 ms) 200
[2021-07-14T07:32:27.171Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-14T07:32:27.178Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T07:38:16.105Z] debug GET /publications (13 ms) 200
[2021-07-14T07:38:16.126Z] debug GET /clients (18 ms) 200
[2021-07-14T07:38:16.158Z] debug GET /clients/count (11 ms) 200
[2021-07-14T07:38:16.731Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-14T07:38:16.751Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T10:31:48.373Z] debug GET /publications (36 ms) 200
[2021-07-14T10:31:48.384Z] debug GET /clients (42 ms) 200
[2021-07-14T10:31:48.386Z] debug GET /clients/count (23 ms) 200
[2021-07-14T10:31:49.037Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-14T10:31:49.041Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (2 ms) 200
[2021-07-14T13:19:44.318Z] debug GET /publications (35 ms) 200
[2021-07-14T13:19:44.325Z] debug GET /clients/count (24 ms) 200
[2021-07-14T13:19:44.328Z] debug GET /clients (38 ms) 200
[2021-07-14T13:19:44.881Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-14T13:19:44.911Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T13:52:53.760Z] debug GET index.html (11 ms) 200
[2021-07-14T16:45:16.849Z] debug GET /clients/count (25 ms) 200
[2021-07-14T16:45:16.858Z] debug GET /publications (30 ms) 200
[2021-07-14T16:45:16.861Z] debug GET /clients (47 ms) 200
[2021-07-14T16:45:17.440Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-14T16:45:17.466Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T17:33:32.877Z] debug GET /publications (44 ms) 200
[2021-07-14T17:33:32.883Z] debug GET /clients/count (23 ms) 200
[2021-07-14T17:33:32.892Z] debug GET /clients (48 ms) 200
[2021-07-14T17:33:33.438Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (2 ms) 200
[2021-07-14T17:33:33.440Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T17:34:16.425Z] debug GET /publications (18 ms) 200
[2021-07-14T17:34:16.688Z] debug GET /clients (15 ms) 200
[2021-07-14T17:34:16.698Z] debug GET /clients/count (7 ms) 200
[2021-07-14T17:34:16.972Z] debug GET /uploads/Dr_Prathima_K_M_Pathology_e63e657e87.png (1 ms) 200
[2021-07-14T17:34:17.230Z] debug GET /uploads/small_architectural_111v_16225ac9c0_afa2d96e7c.jpg (1 ms) 200
[2021-07-14T18:04:53.822Z] debug GET index.html (9 ms) 200
